許可・届出受理番号,事業主名称,事業所名称,事業所所在地,電話番号,派遣労働者数,派遣先件数,得意とする職種
派01-300396,北海サポート　株式会社,北海サポート　株式会社,北海道札幌市東区北42条東15丁目1番1号　栄町ビル6Ｆ,011-711-9090,,,
派01-300399,株式会社　ビーアクト,株式会社　ビーアクト,北海道札幌市中央区南1条西10丁目4番地168　ほくえいビル5階,011-223-6047,,,
派01-300400,士幌運輸 有限会社,士幌運輸　有限会社,北海道河東郡士幌町字士幌西二線138番地19 ,01564-5-2456,10人,1件,フォークリフトオペレ
派01-300402,株式会社　ユーキャスサービス,株式会社　ユーキャスサービス,北海道旭川市北門町十一丁目2901番地19,0166-59-5777,0人,0件,
派01-300403,株式会社　アスクゲートトラスト,株式会社　アスクゲートトラスト,北海道札幌市豊平区豊平三条三丁目1番24号　3F  ,011-833-8166,,,
派01-300403,株式会社　アスクゲートトラスト,株式会社アスクゲートトラスト　旭川店,北海道旭川市4条通7丁目右4号　アスクウッドビル3F,0166-23-5551,,,
派01-300405,日晶運輸　株式会社,日晶運輸　株式会社　本社営業所,北海道北広島市大曲工業団地2丁目1番地2,011-376-3802,,,
派01-300408,株式会社　宮里工業,株式会社　宮里工業,北海道札幌市手稲区曙三条三丁目1番1-202号,011-684-6368,8人,4件,非破壊検査業
派01-300418,総合技研　株式会社,総合技研　株式会社,北海道札幌市中央区南1条東1丁目3番地　パークイースト札幌6F,011-223-0091,,,
派01-300420,北海道千代田　株式会社,北海道千代田　株式会社,北海道札幌市中央区北四条西四丁目1番地　伊藤・加藤ビル7F,011-251-2050,1人,1件,
派01-300421,株式会社　工営舎,株式会社　工営舎,北海道札幌市白石区菊水元町七条二丁目9番16号,011-873-7141,,,
派01-300422,有限会社　北海道リフトサポート,有限会社　北海道リフトサポート,北海道札幌市西区八軒9条西1-1-1　森本ビル,011-699-6231,,,
派01-300425,株式会社　スピード北海道,株式会社　スピード北海道,北海道函館市新川町1番24号　R4TM新川町5階　A号室,0138-24-5347,,,
派01-300429,株式会社　ヒューマンジャパン,株式会社　ヒューマンジャパン,北海道帯広市西二条南十九丁目18番地1,0155-26-6557,262人,70件,販売・事務、食品製造、選果業務
派01-300429,株式会社　ヒューマンジャパン,株式会社　ヒューマンジャパン　札幌営業所,北海道札幌市中央区南1条西11丁目327番地　シティセンタービル6F,011-827-1316,93人,20件,
派01-300436,株式会社　ベストブレーン,株式会社　ベストブレーン,北海道北見市中央三輪一丁目422番地　パナプラザビル4F,0157-36-0138,29人,67件,工場、水産加工、イベント
派01-300440,株式会社　ＪＩＮＺＡＩ,株式会社　ＪＩＮＺＡＩ,北海道札幌市北区百合が原十一丁目190番地,011-738-0001,,,
派01-300444,北海道ハピネス　株式会社,北海道ハピネス　株式会社,北海道札幌市白石区菊水3条2丁目4番1号　ニューギン札幌ビル3F,011-833-8111,201人,43件,
派01-300444,北海道ハピネス　株式会社,北海道ハピネス　株式会社　帯広事業所,北海道帯広市西5条北3丁目11番2号　広瀬ビルＢ,0155-21-8311,158人,14件,
派01-300450,株式会社　ナップ,株式会社　ナップ,北海道帯広市西9条南28丁目23番地,0155-67-7523,70人,25件,食品製造、野菜選別選果、農業関連
派01-300459,株式会社　テクノラボ ,株式会社　テクノラボ,北海道札幌市厚別区下野幌テクノパーク一丁目1番10号　札幌市エレクトロニクスセンター312号室 ,011-807-6151,12人,8件,ソフトウェア業
派01-300460,株式会社　三幸ランドプランニング,株式会社　三幸ランドプランニング,北海道旭川市緑町二十五丁目２１４３番地４１,0166-52-2081,0人,1件,施工管理
派01-300462,北王コンサルタント株式会社,北王コンサルタント株式会社,北海道帯広市西7条北1丁目11番地,0155-26-3775,,,
派01-300462,北王コンサルタント株式会社,北王コンサルタント株式会社　札幌支社,北海道札幌市中央区北10条西20丁目2番1号,011-613-3033,,,
派01-300463,トップワーク株式会社,トップワーク株式会社　白石営業所,北海道札幌市白石区平和通12-北5-43,011-862-8291,3人,2件,
派01-300464,株式会社スリーエス,株式会社スリーエス,北海道上磯郡知内町字湯ノ里48番地の13  ,01392-6-7011,,,
派01-300466,株式会社　東亜プラント,株式会社　東亜プラント,北海道苫小牧市宮の森町二丁目10番1号,0144-74-7280,2人,2件,
派01-300468,札幌軽量急送株式会社,札幌軽量急送株式会社,北海道札幌市北区西茨戸1条1丁目6番7号,011-771-3322,,,
派01-300470,有限会社　ライブビジョン,有限会社　ライブビジョン,北海道苫小牧市春日町1丁目12番2号,0144-37-1234,,,
派01-300475,有限会社　北海道インテリア商事,有限会社　北海道インテリア商事,北海道岩内郡共和町梨野舞納2-119,0135-62-6161,68人,6件,
派01-300476,株式会社　苫小牧工事,株式会社　苫小牧工事,北海道苫小牧市字勇払265番地23,0144-51-5755,,,
派01-300477,株式会社　リンクアソシエーション,株式会社　リンクアソシエーション,北海道札幌市白石区南郷通18丁目北7番17号　谷口ビル4階 ,011-846-0172,,,
派01-300480,株式会社　ワークサービス２１,株式会社　ワークサービス２１,北海道札幌市西区西野二条三丁目2番8号　シティホール札幌西内,011-668-4461,37人,3件,
派01-300481,北洋ビル管理　株式会社,北洋ビル管理　株式会社,北海道札幌市西区山の手3条7丁目1番5号,011-641-4144,0人,0件,
派01-300482,株式会社　ユイットワークス,株式会社　ユイットワークス,北海道苫小牧市ときわ町4丁目25番18号,0144-61-5252,,,
派01-300485,有限会社　常呂トラック,有限会社　常呂トラック,北海道北見市東相内町654番地3－2,0157-36-3903,,,
派01-300487,株式会社　誠和,株式会社　誠和,北海道札幌市東区中沼西1条1丁目8番10号,011-792-3222,,,
派01-300488,株式会社　ログオンシステム,株式会社　ログオンシステム,北海道札幌市中央区南2条西5-10-2　サンワード南2西5ビル8F,011-252-2224,,,
派01-300490,有限会社　Ｌｉｂｅｒｔｙ・Ｊａｐａｎ,有限会社　Ｌｉｂｅｒｔｙ・Ｊａｐａｎ,北海道岩内郡岩内町字敷島内5962番地の2,0135-61-4001,7人,1件,
派01-300492,株式会社　シスコム,株式会社　シスコム,北海道札幌市北区北9条西4丁目7番4号　エルムビル5階 ,011-756-7500,,,
派01-300497,ふらのバス株式会社,ふらのバス株式会社,北海道富良野市住吉町1番1号,0167-23-3131,0人,0件,
派01-300499,はと物流　株式会社,はと物流　株式会社,北海道三笠市岡山178番地8,01267-3-2600,,,
派01-300500,株式会社　スミセキ・パーソンサポ,株式会社　スミセキ・パーソンサポ,北海道北広島市北の里57番地2　2階,011-372-1964,,,
派01-300501,株式会社トーティック,株式会社トーティック　札幌事業所,北海道千歳市信濃4丁目8番13号,0123-25-8775,,,
派01-300502,株式会社　北海道アルバイト情報社,株式会社　北海道アルバイト情報社,北海道札幌市中央区南1条西6丁目20番1　ジョブキタビル2階,011-251-3433,0人,0件,
派01-300503,有限会社　Climb. company　,有限会社　Climb. company　旭川営業所　,北海道旭川市東旭川南１条１丁目４番１１号,0166-36-4780,0人,0件,
派01-300504,道勝運輸　株式会社,道勝運輸　株式会社　帯広営業所,北海道河西郡芽室町東芽室北１線３番地,0155-37-2094,3人,1件,
派01-300505,株式会社　グッドサービス,株式会社　グッドサービス,北海道旭川市3条通9丁目551番地2　ダイメックスビル地下1階　1号室,0166-21-3331,,,
派01-300506,株式会社　アイエンジニアリングスタッフ,株式会社　アイエンジニアリングスタッフ,北海道札幌市中央区北2条東17丁目2番地 ,011-206-0085,,,
派01-300507,株式会社　渡邊組,株式会社　渡邊組新町現場事務所,北海道足寄郡陸別町字陸別基線314番地26,0156-27-3358,,,
派01-300509,株式会社　帯広公害防止技術センター,株式会社　帯広公害防止技術センター,北海道帯広市東8条南3-1,0155-22-3677,,,
派01-300510,有限会社キャリアネット,有限会社キャリアネット,北海道札幌市手稲区新発寒7条7丁目2番1号  ,011-686-2200,69人,10件,
派01-300512,有限会社　ハイテック,有限会社　ハイテック,北海道函館市桔梗1丁目6番16号,0138-34-6789,,,
派01-300514,株式会社　ティー・ユー実業,株式会社　ティー・ユー実業,北海道札幌市北区屯田6条10丁目7番30号　ティーユービル2F,011-774-1666,,,
派01-300515,株式会社東洋美装,株式会社東洋美装,北海道釧路市東川町10番17号,0154-23-5131,2人,1件,清掃業
派01-300516,株式会社　コオヨー　,株式会社　コオヨー　,北海道札幌市東区本町1条9丁目1番36号,011-787-5588,,,
派01-300518,株式会社　セキュメント,株式会社　セキュメント,北海道樺戸郡新十津川町字中央315番地1,0125-76-2197,,,
派01-300519,株式会社　シムス,株式会社　シムス,北海道札幌市白石区本郷通3丁目南4番11号,011-863-6560,,,
派01-300520,北海道道路保全　株式会社,北海道道路保全　株式会社　音更支店,北海道河東郡音更町字音更西三線8番33,0155-45-4070,2人,2件,農業関連、野菜選別撰
派01-300521,カンエイ実業株式会社,カンエイ実業株式会社,北海道札幌市中央区南7条西6丁目289番地6,011-511-7878,,,
派01-300523,株式会社ハーベスト,株式会社ハーベスト,北海道網走郡美幌町字新町三丁目56番地,0152-73-2336,,,
派01-300524,株式会社　グロースアソシエーション,株式会社　グロースアソシエーション,北海道札幌市中央区大通西一丁目14番2　桂和大通ビル50　7階　2号,011-231-2076,,,
派01-300525,スタッフマルシェ　株式会社,スタッフマルシェ　株式会社,北海道帯広市西3条南9丁目2番地　セントラル十勝ビル5Ｆ,0155-67-4509,94人,11件,
派01-300525,スタッフマルシェ　株式会社,スタッフマルシェ　株式会社　南北海道事業部　札幌事業所,北海道札幌市中央区北2条西10丁目2-7　Wall702,011-205-0751,65人,15件,
派01-300529,株式会社エールプロジェクト,株式会社エールプロジェクト,北海道中川郡幕別町札内北栄町59番15-2,0155-21-6400,41人,4件,工場野菜選別、フォークリフト作業、工場一般作業
派01-300531,株式会社　トライバルユニット,株式会社　トライバルユニット,北海道札幌市中央区北5条西2丁目5　ＪＲタワーオフィスプラザさっぽろ20Ｆ,011-804-5761,,,
派01-300534,株式会社ひとらんど,株式会社ひとらんど,北海道旭川市宮下通9丁目780番地1　旭川駅前第1ビル,0166-76-4040,15人,9件,
派01-300535,株式会社リベラル,株式会社リベラル,北海道札幌市北区篠路町拓北6番地183,011-775-4707,,,
派01-300536,合通プラス株式会社,合通プラス株式会社,北海道苫小牧市字柏原6番地245 株式会社合通 1階,0144-84-8071,,,
